🥇;ميدالية المركز الأول
👨🏾‍🏫;رجل المعلم متوسطة لون البشرة الداكنة
👨🏼‍🏫;رجل المعلم متوسطة ضوء البشرة لهجة
👨🏽‍🏫;رجل المعلم متوسطة لون البشرة
👨‍💻;رجل تقني
👨🏿‍💻;رجل تقني لون البشرة الداكنة
👨🏻‍💻;رجل تقني خفيف لون البشرة
👨🏾‍💻;رجل تقني متوسطة الجلد الداكن لهجة
👨🏼‍💻;رجل تقني خفيف ومتوسط ​​البشرة
👨🏽‍💻;رجل تقنية متوسطة البشرة
💁‍♂️;رجل يميل اليد
💁🏿‍♂️;رجل يميل ناحية الجلد الداكن لهجة
💁🏻‍♂️;رجل يتحول ناحية لون البشرة الفاتحة
💁🏾‍♂️;رجل يميل اليد المتوسطة لهجة الجلد الداكن
💁🏼‍♂️;رجل يميل ناحية متوسطة الجلد خفيفة
💁🏽‍♂️;رجل يميل ناحية الجلد المتوسطة
🧛‍♂️;رجل مصاص دماء
🧛🏿‍♂️;رجل مصاص دماء لون البشرة الداكنة
🧛🏻‍♂️;رجل مصاص دماء لون البشرة الفاتح
🧛🏾‍♂️;رجل مصاص دماء متوسطة الجلد الداكن لهجة
🧛🏼‍♂️;رجل مصاص دماء متوسطة ضوء البشرة لهجة
🧛🏽‍♂️;رجل مصاص دماء متوسطة لون البشرة
🚶‍♂️;رجل يمشي
🚶🏿‍♂️;رجل يمشي لون البشرة الداكنة
🚶🏻‍♂️;رجل يمشي لون البشرة الفاتحة
🚶🏾‍♂️;رجل يمشي متوسطة لون البشرة الداكنة
🚶🏼‍♂️;رجل يمشي متوسطة لون البشرة الفاتحة
🚶🏽‍♂️;رجل يمشي متوسطة لون البشرة
👳‍♂️;رجل يرتدي عمامة
👳🏿‍♂️;رجل يرتدي عمامة البشرة الداكنة اللون
👳🏻‍♂️;رجل يرتدي عمامة البشرة الفاتحة
👳🏾‍♂️;رجل يرتدي عمامة متوسطة لون البشرة الداكنة
👳🏼‍♂️;رجل يرتدي عمامة متوسطة لون البشرة الفاتحة
👳🏽‍♂️;رجل يرتدي عمامة متوسطة لون البشرة
👲;رجل مع غوا باي ماو
👲🏿;رجل مع غطاء الصينية لهجة الجلد الداكن
👲🏻;رجل ذو غطاء صيني خفيف لون البشرة
👲🏾;رجل مع قبعة الصينية لهجة الجلد المتوسطة الداكنة
👲🏼;رجل مع غطاء الصينية لهجة الجلد المتوسطة الخفيفة
👲🏽;رجل ذو غطاء صيني متوسط ​​لون البشرة
🧟‍♂️;رجل غيبوبة
🕰;ساعة
👞;حذاء
🗾;اليابان
🍁;ورقة القيقب
🥋;فنون الدفاع عن النفس موحدة
🍖;اللحم على العظام
⚕;رمز طبي
📣;ميجا
🍈;شمام
📝;قلم
👯‍♂️;الرجال مع آذان الارنب
🤼‍♂️;مصارعة الرجال
🕎;الشمعدان مع تسعة فروع
🚹;ملك الرجال
🧜‍♀️;حورية البحر
🧜🏿‍♀️;حورية البحر الجلد الداكن لهجة
🧜🏻‍♀️;حورية البحر ضوء البشرة لهجة
🧜🏾‍♀️;حورية البحر متوسطة لون البشرة الداكنة
🧜🏼‍♀️;حورية البحر متوسطة ضوء البشرة لهجة
🧜🏽‍♀️;حورية البحر المتوسطة لهجة الجلد
🧜‍♂️;حورية
🧜🏿‍♂️;حورية داكنة البشرة
🧜🏻‍♂️;حورية خفيفة البشرة
🧜🏾‍♂️;حورية متوسطة البشرة الداكنة
🧜🏼‍♂️;حورية متوسطة متوسطة البشرة
🧜🏽‍♂️;حورية متوسطة لون البشرة
🧜;حورية
🧜🏿;مظلمة لون البشرة الداكنة
🧜🏻;لهجة خفيفة لون البشرة
🧜🏾;متوسطة متوسطة لون البشرة الداكنة
🧜🏼;مرحة متوسطة البشرة خفيفة
🧜🏽;متوسطة متوسطة لون البشرة
🚇;المترو
🎤;ميكروفون
🔬;مجهر
🖕;عكس اليد مع الاصبع الأوسط الموسعة
🖕🏿;الاصبع الوسطى لون البشرة الداكنة
🖕🏻;الاصبع الوسطى لون البشرة الخفيفة
🖕🏾;متوسطة الاصبع متوسط ​​لون البشرة الداكنة
🖕🏼;متوسطة الاصبع المتوسطة لون البشرة الفاتحة
🖕🏽;متوسطة الاصبع الجلد المتوسطة لهجة
🎖;ميدالية عسكرية
🌌;درب التبانة
🚐;حافلة صغيرة
🗿;مواي
📱;ايفون
📴;الهاتف المحمول قبالة
📲;دعوة
🤑;وجه فم المال
💰;حقيبة المال
💸;المال مع الأجنحة
🐒;قرد
🐵;وجه القرد
🚝;الخط الأحادي
🎑;مشهد الأرز
🕌;مسجد
🛥;قارب بمحرك
🛵;سكوتر المحرك
🏍;سباق الدراجات النارية
🛣;الطريق السريع
🗻;جبل فوجى
⛰;جبل
🚠;التلفريك الجبلي
🚞;السكك الحديدية الجبلية
🐭;وجه الفأر
👄;شفاه
🎥;كاميرا فيلم
🍄;فطر
🎹;لوحة المفاتيح الموسيقية
🎵;نوتة موسيقية
🎶;ملاحظات
🎼;النتيجة الموسيقية
🔇;كتم الصوت
💅;العناية بالأظافر
💅🏿;طلاء الأظافر لهجة الجلد الداكن
💅🏻;طلاء الأظافر لهجة البشرة الخفيفة
💅🏾;طلاء الأظافر لهجة البشرة متوسطة الداكنة
💅🏼;طلاء الأظافر لهجة البشرة متوسطة الضوء
💅🏽;طلاء الأظافر لهجة البشرة المتوسطة
📛;اسم شارة
🏞;متنزه قومي
🤢;وجه غثيان
👔;ربطة عنق
🤓;وجه الطالب الذي يذاكر كثيرا
😐;وجه محايد
🌑;قمر جديد
🌚;القمر الجديد مع وجهه
📰;جريدة
⏭;أسود مثلث مزدوج صحيح مع شريط عمودي
🌃;ليلة مع النجوم
🕤;clock930
🕘;clock9
🚳;ممنوع ركوب دراجات
⛔;ممنوع الدخول
🚯;لا ترمي الأوساخ
📵;لا هواتف محمولة
🔞;تحت السن القانونية
🚷;لا للمشاة
🚭;ممنوع التدخين
🚱;مياه غير صالحة للشرب
👃;أنف
👃🏿;الأنف لون البشرة الداكنة
👃🏻;أنف الجلد فاتح اللون
👃🏾;الأنف لهجة الجلد المتوسطة الداكنة
👃🏼;الأنف لهجة البشرة متوسطة الضوء
👃🏽;الأنف متوسط ​​لون البشرة
📓;دفتر
📔;مفكرة مع غطاء مزخرف
🔩;الجوز والترباس
🐙;أخطبوط
🍢;اوديد
🏢;مكتب. مقر. مركز
👹;الغول اليابانية
🛢;طبل النفط
🗝;المفتاح القديم
👴;رجل كبيرالسن
👴🏿;رجل يبلغ من العمر لون البشرة الداكنة
👴🏻;رجل يبلغ من العمر ضوء لون البشرة
👴🏾;رجل يبلغ من العمر متوسطة الجلد الداكن لهجة
👴🏼;رجل يبلغ من العمر متوسطة ضوء البشرة
👴🏽;رجل يبلغ من العمر متوسطة لون البشرة
👵;امرأة مسنة
👵🏿;امرأة عجوز لون البشرة الداكنة
👵🏻;امرأة عجوز لون البشرة الفاتحة
👵🏾;امرأة عجوز متوسطة الجلد الداكن لهجة
👵🏼;امرأة عجوز متوسطة البشرة خفيفة
👵🏽;امرأة عجوز متوسطة البشرة
🧓;الكبار الاكبر سنا
🧓🏿;الكبار كبار السن لون البشرة الداكنة
🧓🏻;كبار السن لون البشرة الفاتحة
🧓🏾;الكبار كبار السن لهجة البشرة الداكنة المتوسطة
🧓🏼;الكبار في السن المتوسطة ضوء البشرة
🧓🏽;الكبار السن المتوسطة الجلد لهجة
🕉;رمز أوم
🚘;السيارات القادمة
🚍;الحافلة القادمة
👊;لكمة
👊🏿;قبضة قاتمة لون البشرة الداكنة
👊🏻;قبضة الجلد فاتح فاتح قادم
👊🏾;قبضة الجلد المتوسطة ذات اللون القاتم
👊🏼;قبضة الجلد المتوسطة ذات القبضة الخفيفة
👊🏽;القبضة المتوسطة لهجة الجلد
🚔;سيارة شرطة قادمة
🚖;سيارة أجرة قدوم
🕜;clock130
🕐;clock1
📖;كتاب
📂;مجلد ملف مفتوح
👐;فتح اليدين
👐🏿;فتح اليدين لون البشرة الداكنة
👐🏻;فتح اليدين لون البشرة الفاتحة
👐🏾;أيد مفتوحة لهجة البشرة متوسطة الظلام
👐🏼;فتح اليدين متوسطة لون البشرة
👐🏽;فتح اليدين متوسطة لون البشرة
📭;صندوق بريد بدون بريد
📬;صندوق البريد مع البريد
💿;القرص المضغوط
📙;الكتاب البرتقالي
🧡;قلب برتقالي
☦;الصليب الارثوذكسي
📤;علبة صندوق البريد
🦉;بومة
🐂;ثور
📦;صفقة
📄;صفحة مواجهة
📃;الصفحة مع الضفيرة
📟;بيجر
🖌;انخفاض الرسام الأيسر
🌴;شجرة النخيل
🤲;النخيل حتى معا
🤲🏿;يرفع من لون البشرة الداكن
🤲🏻;يرفع النخيل حتى لون البشرة الفاتح
🤲🏾;يرفع من درجة لون البشرة المتوسطة
🤲🏼;يرفع من درجة لون البشرة المتوسطة
🤲🏽;يرفع من لون البشرة
🥞;الفطائر
🐼;وجه الباندا
📎;مشبك الورق
〽;جزء بديل
🎉;تادا
🛳;سفينة ركاب
🛂;مراقبة جوازات السفر
⏸;شريط عمودي مزدوج
🐾;أقدام
☮;رمز السلام
🍑;خوخ
🥜;الفول السوداني
🍐;كمثرى
🖊;أسفل قلم حبر جاف اليسار
🐧;البطريق طائر
😔;متأمل
👯;الراقصات
🤼;مصارعة ناس
🎭;الفنون التمثيلية
😣;ثابر
🚴;دراج
🚴🏿;شخص ركوب الدراجات لون البشرة الداكنة
🚴🏻;شخص ركوب الدراجات الخفيفة لهجة الجلد
🚴🏾;شخص ركوب الدراجات متوسطة الظلام لون البشرة
🚴🏼;شخص ركوب الدراجات متوسطة ضوء البشرة
🚴🏽;شخص ركوب الدراجات متوسطة لون البشرة
⛹;شخص مع الكرة
⛹🏿;الشخص كذاب الكرة لهجة الجلد الداكن
⛹🏻;شخص كذاب الكرة لون البشرة الفاتحة
⛹🏾;شخص كذاب الكرة متوسطة الجلد الداكن لهجة
⛹🏼;شخص كذاب الكرة متوسطة البشرة خفيفة
⛹🏽;شخص كذاب الكرة متوسطة الجلد
🙇;ينحني
🙇🏿;شخص ينحني لهجة البشرة الداكنة
🙇🏻;الشخص ينحني لهجة البشرة الفاتحة
🙇🏾;الشخص الركوع لهجة البشرة المتوسطة الداكنة
🙇🏼;الشخص الركوع متوسطة البشرة خفيفة
🙇🏽;الشخص ينحني البشرة المتوسطة
🤸;شخص كراطيه
🤸🏿;شخص كراطيه لهجة الجلد الداكن
🤸🏻;الشخص كراطيه ضوء البشرة لهجة
🤸🏾;شخص كراطيه لهجة الجلد الداكن المتوسطة
🤸🏼;الشخص كراطيه لهجة البشرة خفيفة والمتوسطة
🤸🏽;الشخص العجلة كراطيه متوسطة الجلد
🧗;شخص يتسلق
🧗🏿;شخص يتسلق لون البشرة الداكنة
🧗🏻;شخص يتسلق لون البشرة الفاتحة
🧗🏾;شخص يتسلق لون البشرة الداكن المتوسط
🧗🏼;شخص يتسلق لون البشرة خفيفة ومتوسطة
🧗🏽;شخص يتسلق لون البشرة المتوسطة
🤦;شخص تغطية الوجه باليد
🤦🏿;شخص تغطية الوجه باليد لون البشرة الداكنة
🤦🏻;شخص تغطية الوجه باليد ضوء البشرة لهجة
🤦🏾;شخص تغطية الوجه باليد لهجة البشرة متوسطة الظلام
🤦🏼;شخص تغطية الوجه باليد لهجة البشرة متوسطة الضوء
🤦🏽;شخص تغطية الوجه باليد متوسطة لون البشرة
🤺;شخص المبارزة
🙍;شخص مقرف
🙍🏿;شخص عبس البشرة الداكنة نغمة
🙍🏻;شخص عبس البشرة الفاتحة
🙍🏾;شخص عبوس البشرة متوسطة داكنة اللون
🙍🏼;شخص عبوس متوسطة البشرة خفيفة
🙍🏽;شخص عبوس البشرة المتوسطة
🙅;ليس جيد
🙅🏿;شخص إيماءة لا لهجة البشرة الداكنة
🙅🏻;شخص إيماءة لا لون البشرة الفاتحة
🙅🏾;شخص إيماءة لا لهجة البشرة متوسطة الظلام
🙅🏼;شخص إيماءة لا لهجة البشرة متوسطة الضوء
🙅🏽;شخص إيماءة أي لهجة الجلد المتوسطة
🙆;اوكى امراة
🙆🏿;شخص إيماء موافق لهجة البشرة الداكنة
🙆🏻;شخص إيماءة طيب لون البشرة الفاتحة
🙆🏾;الشخص إيماءة طيب البشرة لهجة متوسطة الظلام
🙆🏼;شخص إيماءة طيب لهجة البشرة متوسطة الضوء
🙆🏽;شخص إيماء موافق متوسط ​​لون البشرة
💇;حلاقة شعر
💇🏿;شخص يحصل على حلاقة البشرة الداكنة
💇🏻;الشخص الذي يحصل على حلاقة البشرة الفاتحة
💇🏾;شخص يحصل على حلاقة متوسطة الجلد الداكن لهجة
💇🏼;شخص يحصل على حلاقة متوسطة البشرة خفيفة
💇🏽;شخص يحصل على حلاقة متوسطة لون البشرة
💆;تدليك
💆🏿;شخص الحصول على تدليك لون البشرة الداكنة
💆🏻;الشخص الحصول على تدليك لون البشرة الفاتحة
💆🏾;شخص الحصول على تدليك لهجة البشرة متوسطة الظلام
💆🏼;شخص الحصول على تدليك لهجة البشرة خفيفة والمتوسطة
💆🏽;شخص يحصل على تدليك متوسط ​​لون البشرة
🏌;لاعب غولف
🏌🏿;شخص يلعب الغولف نغمة الجلد الداكن
🏌🏻;شخص الجولف ضوء البشرة لهجة
🏌🏾;شخص يلعب الغولف متوسطة لهجة البشرة الداكنة
🏌🏼;شخص الجولف متوسطة ضوء البشرة لهجة
🏌🏽;شخص يلعب الغولف المتوسطة لهجة الجلد
🛌;سكن النوم
🛌🏿;شخص في السرير لون البشرة الداكنة
🛌🏻;شخص في سرير خفيف لون البشرة
🛌🏾;شخص في السرير لهجة البشرة متوسطة الظلام
🛌🏼;شخص في السرير لهجة البشرة متوسطة الضوء
🛌🏽;شخص في السرير متوسط ​​لون البشرة
🧘;شخص في موقف لوتس
🧘🏿;شخص في موقف اللوتس البشرة الداكنة
🧘🏻;شخص في موقف اللوتس ضوء الجلد
🧘🏾;شخص في وضع اللوتس لهجة الجلد المتوسطة الداكنة
🧘🏼;الشخص في وضع اللوتس متوسطة لون البشرة الفاتحة
🧘🏽;شخص في موقف لوتس الجلد المتوسطة
🧖;شخص في غرفة مشبع بالبخار
🧖🏿;شخص في غرفة مشبع بالبخار لهجة الجلد الداكن
🧖🏻;شخص في غرفة مشبع بالبخار ضوء لهجة الجلد
🧖🏾;شخص في غرفة مشبع بالبخار المتوسطة لهجة الجلد الداكن
🧖🏼;شخص في غرفة مشبع بالبخار متوسطة لون البشرة الفاتحة
🧖🏽;شخص في غرفة مشبع بالبخار متوسطة لهجة الجلد
🤹;شخص شعوذة
🤹🏿;شخص شعوذة لون البشرة الداكنة
🤹🏻;شخص شعوذة لون البشرة الفاتحة
🤹🏾;شخص شعوذة متوسطة البشرة الداكنة
🤹🏼;شخص شعوذة متوسطة البشرة خفيفة
🤹🏽;شخص شعوذة متوسطة لون البشرة
🏋;رافعة الوزن
🏋🏿;شخص يرفع أثقال لون البشرة الداكنة
🏋🏻;شخص يرفع الأوزان لون البشرة الفاتحة
🏋🏾;شخص يرفع الأوزان لهجة البشرة الداكنة المتوسطة
🏋🏼;شخص يرفع الأوزان لهجة البشرة متوسطة الضوء
🏋🏽;شخص يرفع الأوزان متوسطة لون البشرة
🚵;راكب الدراجة الجبلية
🚵🏿;شخص ركوب الدراجات الجبلية لون البشرة الداكن
🚵🏻;شخص ركوب الدراجات الجبلية لون البشرة الفاتح
🚵🏾;شخص ركوب الدراجات الجبلية متوسطة لون البشرة الداكنة
🚵🏼;شخص ركوب الدراجات الجبلية متوسطة ضوء البشرة
🚵🏽;شخص ركوب الدراجات الجبلية متوسطة لهجة الجلد
🤾;شخص يلعب كرة اليد
🤾🏿;شخص يلعب كرة اليد لون البشرة الداكنة
🤾🏻;شخص يلعب كرة اليد الخفيفة لون البشرة
🤾🏾;شخص يلعب كرة اليد المتوسطة لهجة الجلد الداكن
🤾🏼;شخص يلعب كرة اليد متوسطة البشرة خفيفة
🤾🏽;شخص يلعب كرة اليد متوسطة لون البشرة
🤽;شخص يلعب كرة الماء
🤽🏿;شخص يلعب كرة الماء الماء الداكن لهجة
🤽🏻;شخص يلعب كرة الماء الماء فاتح اللون
🤽🏾;شخص يلعب كرة الماء ماء متوسط ​​- لون البشرة الداكن
🤽🏼;شخص يلعب كرة الماء المائية متوسطة البشرة خفيفة
🤽🏽;شخص يلعب كرة الماء الماء متوسط ​​النغمة
🙎;شخص مع وجه قذف
🙎🏿;شخص يرتدي لهجة البشرة الداكنة
🙎🏻;شخص يداعب لون البشرة الفاتحة
🙎🏾;شخص يرتدي لهجة البشرة متوسطة الداكنة
🙎🏼;الشخص العبوس لهجة البشرة متوسطة الضوء
🙎🏽;شخص يداعب البشرة المتوسطة
🙋;رفع اليد
🙋🏿;شخص يرفع يده لون البشرة الداكنة
🙋🏻;شخص يرفع لون بشرته
🙋🏾;الشخص رفع اليد المتوسطة لهجة الجلد الداكن
🙋🏼;شخص يرفع يده لهجة البشرة الخفيفة والمتوسطة
🙋🏽;الشخص رفع اليد المتوسطة لهجة الجلد
🚣;زورق
🚣🏿;شخص زورق زورق نغم بشرة داكن
🚣🏻;الشخص التجديف زورق خفيف لون البشرة
🚣🏾;شخص زورق التجديف متوسطة لون البشرة الداكنة
🚣🏼;شخص زورق التجديف متوسطة لون البشرة الفاتحة
🚣🏽;شخص متجول زورق متوسط ​​لون البشرة
🏃;جري
🏃🏿;شخص يدير لهجة البشرة الداكنة
🏃🏻;الشخص الذي يدير لون البشرة الفاتحة
🏃🏾;الشخص الذي يعمل لهجة البشرة متوسطة الداكنة
🏃🏼;الشخص الذي يعمل لهجة البشرة متوسطة الضوء
🏃🏽;شخص يدير لهجة البشرة المتوسطة
🤷;شخص يكره
🤷🏿;شخص يكره لون البشرة الداكنة
🤷🏻;شخص يهتف البشرة خفيفة
🤷🏾;الشخص الذي يهتم بنبرة الجلد المتوسطة الداكنة
🤷🏼;الشخص الذي يهتم بنبرة البشرة المتوسطة الخفيفة
🤷🏽;شخص يهز البشرة المتوسطة
🏄;سيرفر
🏄🏿;شخص يتصفح لون البشرة الداكنة
🏄🏻;شخص يتصفح لون البشرة الفاتحة
🏄🏾;الشخص التزحلق على البشرة متوسطة الداكنة
🏄🏼;الشخص التزحلق على البشرة متوسطة الضوء
🏄🏽;الشخص تصفح متوسط ​​لون البشرة
🏊;سباح
🏊🏿;شخص يسبح بشرة داكنة اللون
🏊🏻;شخص السباحة لهجة البشرة الفاتحة
🏊🏾;شخص السباحة لهجة البشرة متوسطة الظلام
🏊🏼;الشخص السباحة لهجة البشرة خفيفة والمتوسطة
🏊🏽;الشخص السباحة المتوسطة لهجة الجلد
🛀;حمام
🛀🏿;شخص أخذ حمام لون البشرة الداكنة
🛀🏻;الشخص أخذ حمام لون البشرة الفاتحة
🛀🏾;الشخص الذي أخذ حمام لهجة البشرة الداكنة المتوسطة
🛀🏼;شخص أخذ حمام لهجة البشرة متوسطة الضوء
🛀🏽;شخص أخذ حمام متوسط ​​لون الجلد
💁;شخص مكتب المعلومات
💁🏿;شخص يميل ناحية الجلد الداكن لهجة
💁🏻;شخص يميل ناحية لون البشرة الخفيفة
💁🏾;شخص يميل ناحية الجلد لهجة متوسطة داكنة
💁🏼;شخص يميل ناحية متوسطة الجلد خفيفة
💁🏽;شخص يميل ناحية الجلد المتوسطة
🚶;المشي
🚶🏿;شخص يمشي لون البشرة الداكنة
🚶🏻;شخص يسير لون البشرة الفاتحة
🚶🏾;شخص يمشي متوسطة لون البشرة الداكنة
🚶🏼;شخص يمشي متوسطة لون البشرة الفاتحة
🚶🏽;شخص يمشي متوسطة لون البشرة
👳;رجل مع عمامة
👳🏿;شخص يرتدي عمامة البشرة الداكنة اللون
👳🏻;شخص يرتدي عمامة البشرة الفاتحة
👳🏾;شخص يرتدي عمامة متوسطة الجلد الداكن لهجة
👳🏼;شخص يرتدي عمامة متوسطة لون البشرة الفاتحة
👳🏽;شخص يرتدي عمامة متوسطة لون البشرة
⛏;قطف او يقطف
🥧;فطيرة
🐷;وجه خنزير
🐽;أنف خنزير
💩;القرف
💊;حبة دواء
🎍;خيزران
🍍;أناناس
🏓;مضرب تنس الطاولة والكرة
🔫;بندقية
🍕;بيتزا
🛐;مكان للعبادة
▶;السهم إلى الأمام
⏯;مثلث أسود يشير إلى اليمين مع شريط عمودي مزدوج
🚓;سيارة شرطة
🚨;ضوء الدورية
👮;شرطي
👮🏿;ضابط شرطة لون البشرة الداكن
👮🏻;ضابط شرطة خفيف لون البشرة
👮🏾;ضابط شرطة متوسطة لون البشرة الداكنة
👮🏼;ضابط شرطة متوسطة لون البشرة الفاتحة
👮🏽;ضابط شرطة متوسطة لون البشرة
🐩;بودل
🎱;8 الكرة
🍿;الفشار
📯;قرون بريدي
📮;صندوق بريد
🍲;حساء
🚰;مياه صالحة للشرب
🥔;البطاطس
🍗;ساق الدواجن
💷;جنيه
😾;قطة القط
😡;غضب
📿;مسبحة الصلاة
🤰;امرأة حامل
🤰🏿;امرأة حامل لون البشرة الداكنة
🤰🏻;امرأة حامل لون البشرة الفاتحة
🤰🏾;امرأة حامل متوسطة البشرة الداكنة
🤰🏼;امرأة حامل متوسطة البشرة خفيفة
🤰🏽;امرأة حامل متوسطة لهجة الجلد
🥨;كعك مملح و جاف
🤴;أمير
🤴🏿;الأمير لون البشرة الداكنة
🤴🏻;الأمير لون البشرة الفاتحة
🤴🏾;الأمير متوسط ​​لون البشرة الداكنة
🤴🏼;الأمير لهجة البشرة متوسطة الضوء
🤴🏽;الأمير المتوسطة لهجة الجلد
👸;أميرة
👸🏿;أميرة لهجة البشرة الداكنة
👸🏻;أميرة ضوء البشرة لهجة
👸🏾;أميرة متوسطة لون البشرة الداكنة
👸🏼;أميرة متوسطة لون البشرة الفاتحة
👸🏽;أميرة متوسطة لون البشرة
🖨;طابعة
🚫;لا يوجد علامة دخول
💜;قلب بنفسجي
👛;محفظة
📌;الدبوس
❓;سؤال
🐰;وجه أرنب
🏎;سيارة سباق
📻;راديو
🔘;زر الراديو
☢;علامة مشعة
🚃;سيارة السكك الحديدية
🛤;مسار السكك الحديدية
🌈;قوس المطر
🏳️‍🌈;علم قوس قزح
🤚;أثير مرة أخرى من ناحية
🤚🏿;أثار مرة أخرى من ناحية لون البشرة الداكنة
🤚🏻;أثار الظهر من ناحية لون الجلد الفاتح
🤚🏾;رفع الظهر من ناحية الجلد لهجة متوسطة الظلام
🤚🏼;رفع الظهر من الجلد لهجة متوسطة خفيفة
🤚🏽;أثار الظهر من ناحية الجلد لهجة المتوسطة
✊;قبضة
✊🏿;أثار قبضة الجلد الداكن لهجة
✊🏻;أثار قبضة ضوء الجلد لهجة
✊🏾;رفع قبضة الجلد لهجة متوسطة داكنة
✊🏼;رفعت قبضة الجلد خفيفة والمتوسطة
✊🏽;أثار قبضة الجلد المتوسطة لهجة
✋;يد
✋🏿;رفعت ناحية لون البشرة الداكنة
✋🏻;رفعت ناحية لون البشرة الفاتحة
✋🏾;رفعت ناحية لهجة البشرة الداكنة المتوسطة
✋🏼;رفعت اليد المتوسطة لون البشرة الفاتحة
✋🏽;رفعت اليد المتوسطة لهجة الجلد
🙌;رفع اليدين
🙌🏿;رفع أيديهم لهجة الجلد الداكن
🙌🏻;رفع الايدي لون البشرة الفاتح
🙌🏾;رفع أيدي الجلد لهجة متوسطة الظلام
🙌🏼;رفع أيدي الجلد لهجة متوسطة خفيفة
🙌🏽;رفع أيدي متوسطة لهجة الجلد
🐏;الرامات "الذاكرة العشوائية في الهواتف والحواسيب
🐀;فأر
⏺;دائرة سوداء للتسجيل
♻;إعادة تدوير
🍎;تفاحة
🔴;دائرة حمراء
❤;قلب
🏮;فانوس
🔻;مثلث صغير أحمر أسفل
🔺;مثلث صغير أحمر
®;مسجل
😌;مرتاح
🎗;شريط تذكير
🔁;كرر
🔂;كرر مرة واحدة
⛑;خوذة مع الصليب الأبيض
🚻;غرفة الاستراحة
◀;السهم الى الوراء
💞;دائر القلوب
🦏;وحيد القرن
🎀;شريط
🍙;كرة الأرز
🍘;تكسير الأرز
🤜;قبضة يمينية
🤜🏿;مواجهة جلد داكن بقبضة اليد اليمنى
🤜🏻;مواجهة للون البشرة فاتحة اللون
🤜🏾;قبضة الجلد متوسطة القامة ذات الوجه الأيمن
🤜🏼;قبضة الجلد متوسطة الأيدي مواجهة للوجه الأيمن
🤜🏽;مواجهة الجلد متوسطة يمين الوجه
🗯;فقاعة الغضب الصحيح
➡;السهم الصحيح
⤵;السهم يتجه لأسفل
↩;سهم اليسار مع هوك
⤴;السهم يتجه
💍;حلقة
🍠;بطاطا حلوة
🤖;وجه الروبوت
🚀;صاروخ
🗞;توالت صحيفة
🎢;السفينة الدوارة
🤣;يتدحرج على الارض من الضحك
🐓;ديك
🌹;ارتفع
🏵;وردة
📍;دبابيس مستديرة
🏉;كرة الرجبي
🎽;تشغيل قميص مع وشاح
👟;حذاء رياضي
😥;بخيبة أمل بالارتياح
⛵;قارب
🍶;مصلحة
🥪;ساندويتش
📡;هوائي ساتلي
🦕;أقزام
🎷;ساكسفون
🧣;وشاح
🏫;مدرسة
🎒;الحقيبة المدرسية
✂;مقص
🦂;برج العقرب
📜;التمرير
💺;مقعد
🙈;لا نرى الشر
🌱;نبتة
🤳;صورة شخصية
🤳🏿;نغمة البشرة الداكنة
🤳🏻;selfie ضوء البشرة لهجة
🤳🏾;سيلفي متوسطة البشرة الداكنة
🤳🏼;selfie ضوء البشرة متوسطة الضوء
🤳🏽;selfie المتوسطة لهجة الجلد
🕢;ساعة السابعة و النصف
🕖;ساعة السابعة
🥘;مقلاة ضحلة من الطعام
☘;النفل نبات
🦈;قرش
🍧;الجليد حلق
🌾;الأذن من الأرز
🛡;درع
⛩;مزار شنتو
🚢;سفينة
🌠;النجوم
🛍;أكياس التسوق
🛒;عربة التسوق
🍰;كيكة
🚿;دش
🦐;جمبري
🔀;السهام الملتوية إلى اليمين
🤫;وجه شد
🤘;علامة من القرون
🤘🏿;علامة من قرون الجلد الداكن لهجة
🤘🏻;علامة من قرون البشرة الخفيفة
🤘🏾;علامة من القرون المتوسطة لهجة الجلد الداكن
🤘🏼;علامة من القرون المتوسطة لهجة البشرة الخفيفة
🤘🏽;علامة من القرون المتوسطة لهجة الجلد
🕡;ساعة السادسة و النصف
🕕;ساعة السادسة
⛷;المتزحلق
🎿;تزلج
💀;جمجمة
☠;جمجمة وعظمتين متقاطعتين
🛷;تزلج
😴;نائم
😪;نعسان
🙁;وجه عبوس قليلا
🙂;وجه مبتسم قليلا
🎰;آلة سلوت
🛩;طائرة صغيرة
🔹;الماس الأزرق الصغير
🔸;الماس البرتقالي الصغيرة
😻;عيون القلب القط
☺;استرخاء
😇;البريء
😍;عيون القلب
😈;مبتسم عفريت
😊;احمر خدود
😎;نظارات شمسيه
😏;وصمة
🐌;حلزون
🐍;ثعبان
🤧;وجه العطس
🏔;الجبال المغطاة بالثلوج
🏂;المتزلج
🏂🏿;متزحلق على الجليد ذو لون البشرة الداكنة
🏂🏻;متزحلق على الجليد ذو ضوء البشرة لهجة
🏂🏾;متزحلق على الجليد ذو متوسطة لون البشرة الداكنة
🏂🏼;متزحلق على الجليد ذو متوسطة لون البشرة الفاتحة
🏂🏽;متزحلق على الجليد ذو متوسطة لون البشرة
❄;ندفة الثلج
☃;الرجل الثلجي
⛄;ثلج دون الثلج
⚽;كرة القدم
🧦;جوارب
🍦;بوظة
♠;المجارف
🍝;معكرونة
❇;تألق
🎇;ماسة
✨;البريق
💖;قلب متلألئ
🙊;لا تتكلم بشيء
🔊;صوت عال
🔈;المتحدث
🔉;صوت
🗣;يتحدث رئيس في صورة ظلية
💬;بالون الكلام
🚤;قارب سريع
🕷;عنكبوت
